                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5871,                 3.5838,                 1.3435,                 2.6255,                 4.7586,                 1.2225,                0.48691,                0.25812,                0.28123,                0.13907,                 2.1259,                 2.5865,                 1.1827,                  2.134,                  3.211,                 1.1395,               0.000666,               0.000666,               0.000666
                      2,                 2.2684,                 2.4126,                 1.2012,                 2.4295,                 3.0166,                  1.153,                  0.573,                0.33663,                0.37723,                0.17758,                 2.0722,                 2.3997,                 1.1631,                 2.1003,                 2.6861,                  1.137,              0.0012887,              0.0012887,              0.0012887
                      3,                 2.1843,                 2.2107,                 1.1707,                 2.3672,                 2.7942,                 1.1305,                0.59362,                0.34653,                0.38971,                0.18673,                 2.0677,                 2.2724,                 1.1446,                  2.134,                 2.6999,                 1.1396,              0.0018674,              0.0018674,              0.0018674
                      4,                 2.1262,                 2.0563,                 1.1481,                 2.3285,                 2.6277,                 1.1171,                0.66273,                0.38605,                0.45023,                0.22123,                 1.9199,                 1.8885,                  1.097,                 2.0804,                 2.3079,                  1.116,               0.001802,               0.001802,               0.001802
                      5,                 2.0436,                 1.9121,                 1.1241,                 2.2717,                   2.49,                 1.1028,                0.66912,                0.43406,                  0.507,                0.25812,                 1.8981,                 1.7414,                 1.0858,                 1.9856,                 2.1233,                 1.0875,               0.001802,               0.001802,               0.001802
                      6,                 2.0044,                 1.7788,                 1.1075,                 2.2217,                 2.3201,                 1.0876,                0.68167,                0.46541,                0.54194,                0.26164,                  1.837,                 1.6665,                 1.0702,                 1.9917,                 2.1171,                 1.0853,               0.001736,               0.001736,               0.001736
                      7,                 1.9392,                 1.6247,                 1.0894,                 2.1706,                 2.1604,                  1.077,                 0.7317,                0.49252,                0.58067,                0.29303,                  1.798,                 1.5857,                 1.0524,                 1.9101,                 1.9348,                 1.0673,                0.00167,                0.00167,                0.00167
                      8,                 1.9053,                 1.5587,                  1.073,                 2.1538,                 2.0642,                 1.0666,                0.77623,                0.55973,                 0.6525,                0.32462,                 1.7933,                 1.3492,                 1.0461,                 1.9148,                 1.6575,                 1.0606,               0.001604,               0.001604,               0.001604
                      9,                 1.8613,                 1.4638,                 1.0607,                 2.1124,                  1.941,                 1.0565,                0.78052,                0.57554,                0.67364,                0.34524,                 1.7392,                 1.3062,                 1.0327,                 1.8872,                 1.5278,                   1.05,               0.001538,               0.001538,               0.001538
                     10,                 1.8404,                  1.395,                 1.0533,                 2.0951,                 1.8484,                 1.0495,                0.79668,                0.60972,                0.70726,                0.35023,                 1.7677,                 1.2531,                 1.0402,                 1.8795,                 1.4901,                 1.0525,               0.001472,               0.001472,               0.001472
                     11,                 1.7951,                 1.3126,                  1.038,                 2.0461,                 1.7364,                 1.0361,                0.82039,                0.63851,                0.72859,                0.37145,                 1.7152,                 1.1868,                 1.0244,                 1.8312,                 1.3889,                 1.0382,               0.001406,               0.001406,               0.001406
                     12,                 1.7718,                 1.2485,                 1.0372,                 2.0134,                 1.6469,                 1.0353,                0.83711,                0.67665,                0.77099,                0.39114,                 1.6926,                 1.0314,                 1.0147,                  1.837,                 1.1941,                 1.0348,                0.00134,                0.00134,                0.00134
                     13,                 1.7416,                 1.1909,                 1.0236,                 1.9968,                 1.5764,                 1.0256,                0.87589,                0.69555,                0.79873,                 0.4219,                 1.5961,                0.95311,                 0.9905,                 1.7409,                 1.0968,                 1.0124,               0.001274,               0.001274,               0.001274
                     14,                 1.6921,                 1.1466,                 1.0114,                 1.9463,                 1.5107,                 1.0147,                0.85901,                0.69685,                0.79968,                0.41703,                 1.6245,                0.94506,                0.99323,                 1.7716,                 1.0595,                 1.0149,               0.001208,               0.001208,               0.001208
                     15,                 1.6936,                 1.1121,                 1.0063,                  1.945,                 1.4477,                 1.0079,                0.88122,                0.74386,                 0.8412,                0.44853,                 1.5787,                 0.8969,                0.98273,                 1.6981,                 1.0208,                0.99918,               0.001142,               0.001142,               0.001142
                     16,                 1.6597,                 1.0557,                 1.0001,                 1.9146,                 1.3859,                  1.003,                0.87812,                0.73858,                0.83732,                0.44749,                 1.5593,                0.86689,                  0.978,                  1.695,                0.94773,                0.99683,               0.001076,               0.001076,               0.001076
                     17,                 1.6443,                 1.0224,                0.99151,                 1.8884,                 1.3383,                0.99297,                0.88508,                0.71957,                0.82856,                0.45008,                  1.555,                0.87591,                0.97825,                 1.7153,                0.97722,                0.99799,                0.00101,                0.00101,                0.00101
                     18,                  1.623,                0.99711,                0.98873,                 1.8609,                 1.2953,                0.98915,                0.87425,                0.75967,                 0.8513,                0.46212,                 1.5426,                0.83565,                0.97389,                 1.6542,                0.92465,                0.98528,               0.000944,               0.000944,               0.000944
                     19,                 1.5895,                0.96364,                0.97943,                 1.8338,                 1.2503,                0.98359,                0.90342,                0.79187,                0.88151,                0.47951,                 1.5245,                0.79754,                0.96929,                 1.6374,                0.85816,                0.98303,               0.000878,               0.000878,               0.000878
                     20,                  1.567,                0.93008,                0.97302,                 1.8101,                 1.1853,                0.97664,                0.90721,                 0.7924,                0.88578,                0.49808,                 1.4557,                0.76566,                0.95461,                 1.5703,                0.80194,                0.97032,               0.000812,               0.000812,               0.000812
                     21,                 1.5238,                0.87756,                 0.9817,                 1.7176,                  1.048,                0.98713,                0.90855,                0.80147,                0.88671,                0.48884,                 1.4732,                0.75475,                0.95774,                 1.5903,                0.80814,                0.97105,               0.000746,               0.000746,               0.000746
                     22,                 1.4906,                0.82992,                0.97595,                 1.6869,                0.98435,                0.97978,                0.91187,                0.77436,                0.87841,                0.48452,                 1.4894,                0.78446,                 0.9595,                 1.6198,                0.82043,                0.97596,                0.00068,                0.00068,                0.00068
                     23,                 1.4688,                0.80917,                0.96843,                 1.6531,                0.94709,                0.97113,                0.90572,                0.80303,                0.89045,                0.50591,                 1.4388,                0.74619,                0.94854,                 1.5602,                0.77509,                0.96367,               0.000614,               0.000614,               0.000614
                     24,                 1.4461,                0.78569,                0.96232,                 1.6436,                0.91535,                0.96713,                 0.8958,                0.81335,                0.89538,                0.50567,                 1.4438,                0.73063,                0.94797,                 1.5785,                 0.7436,                0.96489,               0.000548,               0.000548,               0.000548
                     25,                 1.4289,                0.75629,                0.95703,                 1.6187,                0.87315,                0.96034,                0.92229,                0.81389,                0.90269,                0.52427,                 1.4091,                 0.7133,                0.94144,                 1.5185,                0.72289,                0.95619,               0.000482,               0.000482,               0.000482
                     26,                 1.3991,                0.73211,                0.95201,                 1.5864,                0.83815,                0.95666,                0.91786,                0.80782,                0.89891,                0.52756,                 1.3883,                 0.7121,                0.93679,                 1.4932,                0.73295,                0.95022,               0.000416,               0.000416,               0.000416
                     27,                 1.3882,                0.71242,                0.94734,                 1.5745,                0.81455,                0.95232,                0.91969,                0.80524,                0.90144,                0.53022,                 1.3712,                0.70216,                0.93288,                 1.4824,                0.72353,                0.94689,                0.00035,                0.00035,                0.00035
                     28,                 1.3609,                0.69763,                0.93935,                 1.5526,                0.80765,                0.94437,                0.93641,                 0.8151,                 0.9057,                0.53188,                 1.3638,                0.69374,                0.93244,                 1.4805,                0.71358,                0.94823,               0.000284,               0.000284,               0.000284
                     29,                 1.3449,                0.68843,                0.93274,                 1.5382,                0.79173,                0.93732,                0.93636,                0.81858,                0.91396,                0.54132,                 1.3543,                0.67003,                0.93063,                 1.4542,                0.67752,                0.94366,               0.000218,               0.000218,               0.000218
                     30,                 1.3199,                0.66567,                0.93159,                 1.5118,                0.75014,                0.93676,                0.92785,                0.82717,                0.91313,                0.54243,                 1.3396,                0.67137,                 0.9276,                 1.4473,                0.68219,                0.94113,               0.000152,               0.000152,               0.000152
