                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4148,                  3.049,                 1.2899,                 2.5418,                  4.055,                 1.2005,                0.62573,                0.37583,                0.42236,                0.19689,                 1.9857,                 2.2228,                 1.1497,                 2.1387,                 2.8139,                 1.1454,              0.0006659,              0.0006659,              0.0006659
                      2,                 2.1193,                 2.0593,                 1.1636,                 2.3541,                 2.5864,                 1.1357,                0.57243,                0.40492,                0.42894,                0.19702,                 2.0382,                 3.3849,                 1.1538,                 2.2291,                 4.8779,                 1.1692,              0.0012886,              0.0012886,              0.0012886
                      3,                  2.041,                 1.8935,                 1.1291,                 2.3004,                 2.3884,                 1.1146,                 0.7116,                0.45711,                0.53055,                0.24559,                 1.9212,                  1.969,                 1.1054,                 2.1096,                  2.325,                 1.1286,              0.0018673,              0.0018673,              0.0018673
                      4,                  1.974,                 1.7309,                 1.1093,                 2.2498,                 2.2137,                 1.0994,                0.75861,                0.53121,                0.61836,                 0.3109,                 1.7989,                 1.5253,                 1.0634,                 1.9272,                 1.8186,                  1.076,               0.001802,               0.001802,               0.001802
                      5,                 1.9019,                  1.591,                 1.0752,                 2.1755,                 2.0481,                 1.0737,                0.80013,                0.57206,                0.67251,                0.33725,                 1.7163,                 1.3729,                 1.0397,                  1.826,                 1.6721,                 1.0492,               0.001802,               0.001802,               0.001802
                      6,                 1.8392,                 1.4114,                 1.0604,                 2.1084,                 1.8107,                 1.0588,                0.80742,                0.56241,                0.66225,                0.34131,                 1.7164,                 1.3806,                 1.0339,                 1.8522,                 1.6434,                 1.0535,               0.001736,               0.001736,               0.001736
                      7,                 1.7886,                 1.3295,                 1.0413,                 2.0552,                 1.7072,                 1.0417,                0.83523,                0.66817,                0.76434,                0.40829,                 1.6344,                 1.1332,                 1.0128,                 1.7717,                  1.255,                 1.0287,                0.00167,                0.00167,                0.00167
                      8,                  1.752,                  1.225,                 1.0289,                 2.0075,                 1.5469,                  1.028,                0.86574,                0.66283,                0.76649,                0.39767,                 1.6623,                 1.1028,                 1.0163,                 1.7982,                  1.258,                 1.0326,               0.001604,               0.001604,               0.001604
                      9,                 1.7272,                 1.1642,                 1.0232,                 1.9897,                  1.467,                 1.0219,                0.86677,                0.67245,                0.78582,                0.40624,                 1.6634,                 1.1354,                 1.0157,                 1.8219,                 1.2584,                 1.0381,               0.001538,               0.001538,               0.001538
                     10,                 1.6774,                 1.0835,                 1.0074,                 1.9354,                 1.3526,                 1.0089,                0.87864,                 0.7749,                0.85746,                0.45254,                 1.5553,                0.89671,                0.98212,                  1.718,                0.93388,                 1.0049,               0.001472,               0.001472,               0.001472
