                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.157,                 2.4593,                 1.4347,                 2.1548,                 2.9587,                 1.3864,                0.58525,                0.34812,                0.38543,                0.18107,                 2.0637,                 3.5739,                 1.3939,                 2.1133,                 3.9017,                 1.3704,               0.067238,             0.00053271,             0.00053271
                      2,                  1.755,                 1.3772,                 1.2254,                  1.849,                 1.4927,                 1.2285,                0.81861,                  0.639,                0.73159,                0.36755,                  1.739,                 1.4538,                 1.2141,                 1.8208,                 1.8154,                 1.2198,               0.034417,              0.0010449,              0.0010449
                      3,                 1.5659,                0.98919,                 1.1441,                 1.6762,                 0.9946,                 1.1587,                0.81224,                 0.6928,                0.78168,                0.40592,                 1.6069,                 1.3345,                  1.157,                 1.7195,                 1.2629,                 1.1828,              0.0015748,               0.001536,               0.001536
                      4,                 1.4309,                0.78795,                 1.0882,                 1.5318,                0.74075,                 1.0951,                0.86572,                0.73175,                0.82048,                0.43965,                 1.5747,                  1.071,                 1.1503,                 1.6676,                 1.0357,                 1.1598,               0.001505,               0.001505,               0.001505
                      5,                 1.3306,                0.68359,                 1.0538,                 1.4236,                0.60663,                 1.0623,                0.91238,                0.82049,                0.88876,                0.49458,                 1.5059,                 1.0048,                 1.1188,                 1.6269,                0.84649,                 1.1361,               0.001505,               0.001505,               0.001505
                      6,                 1.2267,                0.59735,                 1.0172,                 1.3205,                0.49459,                 1.0278,                0.89814,                0.83542,                0.90217,                0.52425,                 1.4236,                0.76523,                 1.0856,                 1.5189,                  0.752,                 1.0977,              0.0014733,              0.0014733,              0.0014733
                      7,                 1.1489,                0.55772,                 0.9883,                 1.2338,                0.45834,                0.99597,                0.92215,                0.84994,                0.91397,                0.54948,                 1.3605,                0.83632,                 1.0731,                  1.441,                0.75872,                 1.0761,              0.0014416,              0.0014416,              0.0014416
                      8,                 1.0669,                0.51209,                0.96081,                 1.1449,                0.39927,                 0.9661,                0.92622,                0.84069,                0.91095,                0.54515,                 1.3635,                 0.7426,                 1.0742,                 1.4386,                0.73175,                   1.08,              0.0014099,              0.0014099,              0.0014099
                      9,                 1.0022,                0.47175,                0.93856,                 1.0796,                0.36141,                0.94565,                0.94004,                0.83486,                0.90878,                0.55783,                 1.3263,                0.72654,                 1.0613,                  1.393,                0.78044,                 1.0618,              0.0013782,              0.0013782,              0.0013782
                     10,                0.93782,                0.44585,                 0.9198,                  1.012,                0.32405,                0.92546,                0.92281,                  0.833,                0.86699,                0.54324,                 1.2953,                0.72247,                 1.0472,                  1.371,                  1.369,                 1.0531,              0.0013466,              0.0013466,              0.0013466
                     11,                0.88797,                0.41274,                0.90376,                 0.9533,                0.30667,                0.90816,                0.93902,                  0.881,                0.93777,                 0.5912,                 1.2735,                 0.6526,                 1.0427,                 1.3302,                0.64518,                 1.0484,              0.0013149,              0.0013149,              0.0013149
                     12,                0.84357,                 0.4018,                0.88805,                0.90236,                0.29744,                0.88916,                  0.925,                0.88342,                0.93257,                0.58394,                 1.2465,                0.65503,                 1.0427,                 1.3202,                0.74096,                 1.0441,              0.0012832,              0.0012832,              0.0012832
                     13,                0.79344,                0.37859,                0.87553,                0.85589,                0.27504,                0.87792,                0.93751,                0.88957,                0.92633,                0.58682,                 1.2451,                0.69728,                 1.0403,                  1.317,                0.72635,                 1.0432,              0.0012515,              0.0012515,              0.0012515
                     14,                0.74924,                0.36775,                 0.8633,                0.80794,                0.26024,                 0.8671,                0.95057,                0.88425,                 0.9274,                0.59102,                 1.2432,                0.66433,                 1.0485,                 1.3166,                0.70667,                 1.0508,              0.0012198,              0.0012198,              0.0012198
                     15,                0.71858,                0.35192,                0.85484,                0.77141,                 0.2467,                0.85732,                 0.9564,                0.90399,                0.93727,                0.60495,                 1.2279,                0.59237,                 1.0437,                 1.3035,                0.63676,                 1.0463,              0.0011882,              0.0011882,              0.0011882
                     16,                0.68027,                0.33339,                0.84355,                0.73029,                 0.2307,                0.84759,                0.94598,                0.88261,                0.93103,                0.59991,                 1.2316,                0.64253,                 1.0506,                 1.2981,                0.70808,                 1.0475,              0.0011565,              0.0011565,              0.0011565
                     17,                0.65798,                 0.3255,                0.83636,                  0.708,                 0.2198,                0.84049,                0.95908,                0.89633,                0.94492,                0.61062,                 1.2164,                 0.5745,                 1.0441,                 1.2815,                0.60309,                 1.0514,              0.0011248,              0.0011248,              0.0011248
                     18,                0.63095,                0.31657,                0.83015,                0.67335,                0.21099,                0.83271,                0.95804,                 0.9027,                0.95027,                0.61801,                 1.1958,                0.57529,                 1.0392,                 1.2649,                0.58384,                 1.0455,              0.0010931,              0.0010931,              0.0010931
                     19,                0.60043,                0.30267,                0.82423,                0.64402,                0.19974,                0.82695,                0.94503,                0.88866,                0.94305,                0.61794,                 1.1937,                0.59705,                 1.0448,                 1.2604,                0.62597,                 1.0474,              0.0010614,              0.0010614,              0.0010614
                     20,                0.57204,                0.29535,                0.81665,                0.61153,                0.19304,                0.81894,                0.96631,                0.89028,                 0.9457,                0.62161,                 1.1883,                0.55696,                 1.0397,                  1.248,                0.56412,                 1.0427,              0.0010298,              0.0010298,              0.0010298
                     21,                0.54156,                 0.2866,                0.81252,                0.58391,                0.18552,                 0.8142,                 0.9713,                0.89835,                0.94915,                0.62121,                 1.1731,                0.58072,                 1.0375,                 1.2381,                0.59385,                 1.0391,             0.00099808,             0.00099808,             0.00099808
                     22,                0.51808,                0.27748,                0.80787,                0.54696,                 0.1726,                0.80833,                 0.9625,                 0.8931,                0.94191,                0.61937,                 1.1836,                0.58942,                  1.045,                 1.2529,                0.66506,                  1.053,              0.0009664,              0.0009664,              0.0009664
                     23,                0.52312,                0.27912,                 0.8076,                0.55356,                0.17423,                0.80792,                0.96034,                0.90835,                0.95067,                0.62433,                 1.1751,                0.54539,                 1.0414,                 1.2448,                0.56002,                 1.0494,             0.00093472,             0.00093472,             0.00093472
                     24,                0.50605,                0.27139,                 0.8052,                0.53616,                0.16644,                0.80575,                0.96761,                0.87966,                0.93559,                0.61511,                 1.1769,                0.61149,                 1.0444,                 1.2488,                0.71097,                 1.0536,             0.00090304,             0.00090304,             0.00090304
                     25,                0.50122,                0.27003,                0.80386,                0.53305,                0.16553,                0.80463,                0.96388,                0.88987,                0.92371,                0.61006,                 1.1753,                0.58052,                 1.0455,                 1.2419,                0.83288,                 1.0518,             0.00087136,             0.00087136,             0.00087136
                     26,                0.47859,                0.25971,                0.80048,                0.51063,                0.15479,                0.80146,                0.96825,                0.90319,                0.94613,                0.62336,                 1.1643,                0.57037,                 1.0514,                 1.2279,                0.61902,                 1.0575,             0.00083968,             0.00083968,             0.00083968
                     27,                  0.453,                0.25235,                0.79445,                0.47306,                0.14774,                0.79535,                0.96574,                0.90157,                0.94334,                0.62492,                 1.1629,                0.55071,                 1.0428,                 1.2299,                0.59263,                 1.0514,               0.000808,               0.000808,               0.000808
                     28,                0.43753,                 0.2435,                0.79411,                0.46158,                0.14375,                0.79366,                0.95767,                0.89794,                0.95026,                0.62951,                 1.1723,                0.56246,                 1.0581,                  1.227,                0.60718,                 1.0581,             0.00077632,             0.00077632,             0.00077632
                     29,                0.42586,                0.24083,                0.79057,                0.44779,                0.13989,                0.78985,                0.96576,                0.89887,                0.94825,                 0.6266,                 1.1609,                0.55824,                 1.0574,                 1.2281,                0.63653,                 1.0642,             0.00074464,             0.00074464,             0.00074464
                     30,                0.41024,                0.23673,                0.78797,                0.43253,                0.13589,                0.78811,                0.98112,                0.87334,                0.91617,                0.61141,                 1.1514,                0.57584,                 1.0469,                 1.2201,                0.77752,                 1.0547,             0.00071296,             0.00071296,             0.00071296
                     31,                0.38327,                 0.2249,                 0.7842,                0.40452,                0.12819,                0.78403,                0.97269,                 0.9052,                0.93885,                0.62471,                 1.1428,                0.52314,                 1.0534,                 1.2114,                0.63688,                 1.0561,             0.00068128,             0.00068128,             0.00068128
                     32,                0.37676,                0.22306,                0.78386,                0.39265,                0.12334,                0.78314,                0.97224,                0.89996,                0.94091,                 0.6294,                 1.1419,                0.55346,                  1.054,                 1.2089,                0.63884,                  1.056,              0.0006496,              0.0006496,              0.0006496
                     33,                 0.3618,                0.21706,                0.78218,                0.37809,                0.12472,                0.78161,                0.96509,                0.90964,                0.94547,                   0.63,                 1.1396,                0.53189,                 1.0548,                 1.2084,                0.58366,                  1.062,             0.00061792,             0.00061792,             0.00061792
                     34,                0.34256,                0.20819,                0.77899,                 0.3569,                0.11345,                0.77849,                0.96654,                0.91731,                0.94874,                 0.6339,                 1.1367,                0.52862,                 1.0546,                 1.2001,                0.58862,                 1.0643,             0.00058624,             0.00058624,             0.00058624
                     35,                0.33348,                0.20474,                0.77756,                 0.3472,                0.11166,                0.77634,                 0.9714,                0.90722,                0.94568,                0.62973,                 1.1326,                0.54623,                 1.0521,                 1.2036,                0.63901,                 1.0612,             0.00055456,             0.00055456,             0.00055456
                     36,                0.31969,                0.19841,                0.77762,                0.33231,                0.11049,                0.77599,                0.96878,                 0.9161,                0.95609,                0.63941,                 1.1325,                0.53151,                 1.0546,                 1.1966,                0.56874,                 1.0639,             0.00052288,             0.00052288,             0.00052288
                     37,                 0.3137,                0.19476,                0.77576,                0.32581,                0.10356,                0.77464,                0.97419,                0.90359,                0.93977,                 0.6298,                 1.1271,                 0.5759,                  1.054,                 1.1917,                0.63877,                 1.0586,              0.0004912,              0.0004912,              0.0004912
                     38,                0.30209,                0.19002,                0.77509,                0.31093,                  0.103,                0.77391,                0.97892,                0.90077,                0.95242,                0.63847,                 1.1311,                 0.5469,                  1.056,                 1.1882,                0.62607,                 1.0646,             0.00045952,             0.00045952,             0.00045952
                     39,                0.29143,                0.18501,                0.77347,                0.30059,                0.09673,                0.77241,                0.97163,                0.91167,                 0.9501,                0.63696,                 1.1253,                0.53426,                 1.0556,                 1.1848,                0.64205,                 1.0622,             0.00042784,             0.00042784,             0.00042784
                     40,                0.27699,                0.17682,                0.77163,                0.28459,                0.09405,                0.77034,                0.97366,                0.90971,                0.95058,                0.63998,                  1.128,                0.53465,                 1.0633,                 1.1895,                0.63477,                  1.067,             0.00039616,             0.00039616,             0.00039616
                     41,                0.26262,                0.17226,                0.77019,                0.26848,                0.09029,                0.76897,                0.97528,                0.90722,                0.94744,                0.63599,                 1.1243,                0.54549,                 1.0595,                 1.1857,                0.62501,                 1.0655,             0.00036448,             0.00036448,             0.00036448
                     42,                0.24419,                0.16493,                0.76987,                0.24973,                0.08677,                0.76834,                0.97236,                0.90818,                0.94966,                0.63996,                 1.1224,                0.55034,                 1.0585,                 1.1863,                0.66363,                 1.0648,              0.0003328,              0.0003328,              0.0003328
                     43,                0.23579,                0.16275,                  0.769,                0.24178,                0.08329,                0.76768,                0.97629,                0.91356,                0.95158,                0.63743,                 1.1187,                 0.5325,                 1.0611,                 1.1865,                0.64642,                 1.0674,             0.00030112,             0.00030112,             0.00030112
                     44,                0.22841,                 0.1564,                0.76822,                0.23485,                0.08017,                0.76672,                0.97864,                0.90924,                0.95394,                0.64303,                 1.1197,                0.54415,                 1.0608,                 1.1842,                0.64256,                 1.0706,             0.00026944,             0.00026944,             0.00026944
                     45,                0.21098,                0.14824,                0.76672,                0.21475,                0.07489,                0.76537,                0.97786,                0.91045,                  0.952,                0.64147,                 1.1118,                0.53521,                 1.0591,                 1.1746,                0.63637,                 1.0653,             0.00023776,             0.00023776,             0.00023776
                     46,                 0.1983,                0.14206,                0.76576,                0.20111,                0.07052,                 0.7644,                0.98034,                0.91569,                0.95465,                0.64392,                 1.1141,                0.53807,                 1.0643,                 1.1761,                0.62673,                 1.0702,             0.00020608,             0.00020608,             0.00020608
                     47,                0.18865,                0.13772,                0.76534,                 0.1924,                0.06746,                0.76413,                0.98152,                0.91327,                0.95128,                0.64245,                 1.1113,                0.54116,                 1.0631,                 1.1718,                0.64309,                 1.0699,              0.0001744,              0.0001744,              0.0001744
                     48,                 0.1731,                0.12929,                0.76475,                0.17526,                0.06357,                0.76356,                0.97851,                0.91529,                0.95382,                0.64458,                 1.1117,                  0.552,                 1.0638,                 1.1741,                0.66073,                 1.0715,             0.00014272,             0.00014272,             0.00014272
                     49,                0.16217,                0.12336,                0.76376,                0.16361,                0.06111,                0.76198,                0.97501,                0.91302,                 0.9518,                0.64324,                 1.1127,                0.55652,                 1.0662,                 1.1745,                0.67353,                 1.0733,             0.00011104,             0.00011104,             0.00011104
                     50,                0.15099,                0.11775,                0.76237,                0.15187,                0.05566,                0.76136,                 0.9776,                0.91536,                0.95228,                0.64445,                 1.1088,                0.55423,                 1.0656,                 1.1723,                0.66484,                 1.0738,              7.936e-05,              7.936e-05,              7.936e-05
