                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4337,                 3.2828,                 1.6049,                 2.2155,                 4.2596,                 1.4166,                 0.0056,                0.66559,                0.11513,                0.05201,                 2.3369,                 4.4636,                 1.5851,                 2.1201,                 5.2479,                  1.375,               0.067504,              0.0005284,              0.0005284
                      2,                 1.8225,                 1.4493,                  1.262,                 1.8415,                 1.8099,                 1.2215,                0.28307,                0.25938,                0.15447,                0.07559,                 1.9254,                 2.3741,                 1.3216,                 1.9146,                 3.1846,                 1.2783,               0.034683,              0.0010407,              0.0010407
                      3,                  1.612,                 1.0232,                 1.1634,                 1.6673,                 1.1957,                 1.1511,                0.61846,                0.38887,                0.43603,                0.19108,                 1.9678,                  1.988,                 1.3372,                 2.0719,                 2.2623,                 1.3709,              0.0018405,              0.0015319,              0.0015319
                      4,                 1.5122,                0.89891,                 1.1201,                 1.5805,                0.95722,                 1.1159,                0.46385,                0.41428,                0.40991,                0.19263,                 1.8661,                 2.9017,                 1.3237,                 1.9325,                 6.7539,                 1.2983,               0.001505,               0.001505,               0.001505
                      5,                 1.4282,                0.76909,                 1.0836,                 1.5008,                0.79537,                 1.0845,                0.54086,                0.43324,                0.44088,                0.21474,                  1.902,                 2.0643,                 1.3483,                  1.916,                 2.3878,                 1.3019,               0.001505,               0.001505,               0.001505
                      6,                 1.3306,                0.70262,                 1.0461,                 1.4094,                0.69451,                 1.0516,                0.79918,                0.62081,                0.71228,                0.38653,                 1.5977,                 1.3079,                 1.1758,                 1.7003,                 1.4818,                 1.1778,              0.0014733,              0.0014733,              0.0014733
                      7,                 1.2428,                0.63978,                 1.0148,                 1.3213,                0.60112,                 1.0201,                0.68828,                0.46227,                0.53604,                  0.298,                 1.6076,                 1.9373,                  1.182,                  1.676,                 2.4408,                 1.1654,              0.0014416,              0.0014416,              0.0014416
                      8,                 1.1804,                0.58697,                0.99115,                  1.257,                 0.5228,                0.99707,                0.82845,                0.74788,                0.83726,                0.47656,                 1.4593,                0.96911,                  1.113,                 1.5562,                 1.4851,                  1.122,              0.0014099,              0.0014099,              0.0014099
                      9,                 1.1174,                0.55282,                0.97025,                 1.1928,                0.47436,                0.97951,                0.82555,                0.75405,                0.81881,                0.47222,                 1.4146,                 1.2066,                 1.1001,                 1.5208,                 1.1391,                  1.114,              0.0013782,              0.0013782,              0.0013782
                     10,                 1.0757,                0.53717,                0.95591,                 1.1504,                0.43989,                0.96239,                0.85578,                0.76354,                0.83774,                0.47839,                 1.4352,                0.94537,                 1.1021,                 1.5377,                 1.1017,                 1.1126,              0.0013466,              0.0013466,              0.0013466
                     11,                 1.0055,                0.49802,                0.93174,                 1.0776,                0.39948,                0.93993,                0.89338,                0.75555,                0.83927,                0.49636,                 1.3746,                 1.2045,                 1.0889,                 1.4755,                 1.5897,                 1.0977,              0.0013149,              0.0013149,              0.0013149
                     12,                0.96613,                0.48496,                0.92088,                 1.0322,                0.37595,                0.92633,                0.90518,                0.79714,                0.88419,                0.52925,                 1.3744,                0.78499,                 1.0799,                 1.4623,                0.90168,                 1.0919,              0.0012832,              0.0012832,              0.0012832
                     13,                0.93202,                0.46506,                0.90931,                0.98986,                0.35229,                0.91373,                0.91666,                0.72529,                0.83575,                0.50528,                 1.3678,                0.88193,                 1.0781,                 1.4518,                  1.083,                 1.0875,              0.0012515,              0.0012515,              0.0012515
                     14,                0.89036,                0.45494,                0.89592,                0.95306,                0.33812,                0.90146,                0.89493,                0.74905,                0.83839,                0.50852,                 1.3444,                 1.1768,                 1.0721,                 1.4332,                  1.193,                 1.0819,              0.0012198,              0.0012198,              0.0012198
